,title,rating,body
505,your child will be extremely happy,5.0 out of 5 stars,My grandson is very happy he received this and it's very user friendly
506,A lot Smaller than normal switch,5.0 out of 5 stars,"Its a switch lite... there isnt much to say, just keep in mind if you havent held one or seen one out of the box, it is a lot smaller than the normal switch"
507,Great Buy,5.0 out of 5 stars,"Good product, good price, papa john's."
508,Nintendo switch lite,4.0 out of 5 stars,"Easy to use , my 13 years old like it , he said the bottoms work better on lite than the regular switch . Battery run low fast ."
509,Love it!,5.0 out of 5 stars,My daughter loves it. Works as described and came on time.
510,Good Fun,5.0 out of 5 stars,"Everything is good but there is no butt, but you get used to it being flat."
511,Christmas Gift for GF - She loves it,5.0 out of 5 stars,She’s been wanting one for awhile now and I was able to get next day delivery and have it in my hands very fast. It fits in her purse and feels very great to hold.
512,Luv it!!!!!!,5.0 out of 5 stars,Pretty darn awesome
513,Came just as described,5.0 out of 5 stars,The item came brand new and with a charger and the seller was very nice and cooperative. Definitely worth buying the Nintendo Switch lite from. (:
514,Perfect,5.0 out of 5 stars,Exactly what I was looking for.
515,Everything minus using it on the big tv!,5.0 out of 5 stars,"My son loved it! We have a regular switch for our 11 year old, and we bought the lite for the 4 year old. So now there is less fighting. So far so good!"
516,Does what it says,5.0 out of 5 stars,Daughter loves it!
517,Perfect for on the go play,5.0 out of 5 stars,Exactly what I expected after watching reviews. Perfect size.
518,Exactly as Described,5.0 out of 5 stars,this is for my son's birthday. He is going to love it. I have it all set up and its great! Thank you!
519,The kids love it!,5.0 out of 5 stars,"So far, So good! No complaints and the kids are happy with it. The games that have to be purchased separately are expensive, but that isn’t this products fault. Overall we’re happy customers!"
520,El juego del niño me dejó funcionar de un día para otro,5.0 out of 5 stars,A mi niño le gustó su juego pero al mes dejó de funcionar la pantalla se puso mala y no puede jugar
521,Best thing ever.,5.0 out of 5 stars,Bingo Bango. Everywhere is sold out but here ! I gladly paid $50 more bones. Sweet  little game boy.
522,Great product,5.0 out of 5 stars,I bought it for my 5 year old who is a natural gamer. She absolutely loves it. It’s perfect for her because she would loose the controller Ma if she could detach them.
523,Perfect,5.0 out of 5 stars,Came like a week before it said it would. Ordered from GAMEZLAND and there is nothing wrong with the product. It's as expected. Thank you.
524,"Fast shipping, awesome deal!",5.0 out of 5 stars,"Been using it for a week, no problems at all. Super quick shipping. Got it 2 days before said shipping. Would highly recommend this buyer!"
525,Description was accurate.,5.0 out of 5 stars,We received the switch in perfect condition. Description was accurate.
526,Good for mobile gamers!,5.0 out of 5 stars,Great for handheld/mobile gaming. Very light and user friendly. Crisp graphics! I highly suggest for old DS players who want a new yet familiar experience.
527,Worth it,5.0 out of 5 stars,"It’s perfect. From the size, to the color, I am very happy with this purchase."
528,Affordable and durable,5.0 out of 5 stars,My 9 yo daughter absolutely loves this switch lite.
529,Great product,5.0 out of 5 stars,Works perfectly! Great product
530,love it,5.0 out of 5 stars,things great screen pretty big
531,Operates well,5.0 out of 5 stars,"Purchased this fory grandson, I don't know one thing about this item"
532,The best,5.0 out of 5 stars,With everyone going crazy with quarantine I do have to say the Nintendo switch Lite is definitely something that can help keep you entertained
533,best handheld ever!,5.0 out of 5 stars,"It is finally here, the switch lite. Games look beautiful on the screen and the speakers are loud enough to hear what is going on. It is also a blast to play DOOM at the doctor's office.Get one, you'll love it!!!"
534,Loved it! Great packaging!,5.0 out of 5 stars,Loved the product! It’s came just in time and it was delivered in perfect condition!
535,Quality product,5.0 out of 5 stars,Came in early. Looks great. Better than described.
536,Good value,5.0 out of 5 stars,Daughter loves the Switch! Works great and nice look
537,Love it!,5.0 out of 5 stars,Cheap price and I absolutely love it.
538,Great for car rides and rainy days,5.0 out of 5 stars,The kids love them.
539,Nintendo lite,5.0 out of 5 stars,My son loves this nintendo. And great price.
540,Very good !,5.0 out of 5 stars,"Daughter got this for Christmas and she loves it !! It has plenty of screen , it’s the perfect size to throw in a bag and take on the go!"
541,Good quality,5.0 out of 5 stars,Good product
542,Great product,5.0 out of 5 stars,Works great!!
543,Christmas present,5.0 out of 5 stars,It was perfect for my 8 year old granddaughter
544,Its worth the money,5.0 out of 5 stars,Its good for the price
545,holiday gift,5.0 out of 5 stars,Granddaughter loved it
546,It's fun for the kids.,5.0 out of 5 stars,It was a gift fir my granddaughter.
547,great product,5.0 out of 5 stars,I love it.
548,Rad,5.0 out of 5 stars,"Came on time, little slip because the tracking didn't update super quickly though. Other than that, great buy, great pricing, and great for playing some Dark Souls here and there."
549,Great BUY IT NOW,5.0 out of 5 stars,"Love it, the color and boxing was amazing!"
550,Bought for my daughter,5.0 out of 5 stars,This was a gift for my daughter. She loved it.
551,It’s Nintendo,5.0 out of 5 stars,We already have a regular switch and now my daughter loves being able to trade Pokémon with me and her siblings.
552,Love it!!!!!!,5.0 out of 5 stars,Good battery life and fast charging!
553,Great,5.0 out of 5 stars,I love the portability of this product and how you can take it anywhere you want the battery life is also great and have non stop playing it for over a month
554,She loves,5.0 out of 5 stars,Gift for my niece
555,Thanks so much,5.0 out of 5 stars,Thanks so much for all you do
556,Hermosa Consola,5.0 out of 5 stars,"Es hermosa, es práctica, fácil de transportar y sobre todo su compatibilidad con la colección de juegos de Switch."
557,Beautiful color...,5.0 out of 5 stars,My son loves it!
558,Awesome product,5.0 out of 5 stars,Works perfectly shipped so fast thank you
559,Good for gaming,5.0 out of 5 stars,"Tuff little device, and does all that we wanted it to do. I recomend getting a case set. Having a case and cover has been great!"
560,Love it,5.0 out of 5 stars,Love it great product
561,Perfect!,5.0 out of 5 stars,Arrived on time! Just what I needed!
562,my son hates it,2.0 out of 5 stars,its always taking forever on the uploads and you cant use the fortnite coins on it
563,Just as it says,5.0 out of 5 stars,Amazing made my kid happy!!
564,Great product,5.0 out of 5 stars,This was a quick way to buy one. Quality product too.
565,Amazing product,5.0 out of 5 stars,Easy for the kids to handle
566,Kids,5.0 out of 5 stars,Granddaughter loved it
567,Love it's so pretty Coral 😍,5.0 out of 5 stars,Love it works great!! And lighter easier on the wrists while playing in handheld recommended  If you are mostly playing in handheld mode
568,How easy it was,5.0 out of 5 stars,Easy to order
569,Good product,5.0 out of 5 stars,"My sons christmas present, arrived on time and in perfect condition"
570,Love it,5.0 out of 5 stars,My daughter loves her  Nintendo Switch
571,My Switch lite,5.0 out of 5 stars,I got two days ago an it isAwesome  Thank you 😎😎😎😎😎🙌🙌🙌🙌🙌
572,was nice !,5.0 out of 5 stars,it is a very nice and works just as good as the original (just without the main roles of the regular switch) so i highly recomend
573,🤓,5.0 out of 5 stars,It's amazing!!!Love it..
574,amazing!,5.0 out of 5 stars,now my partner don’t touch my switch!! finally!
575,Cute. Easy and Sleek for the Quaranoffice!,5.0 out of 5 stars,Easy to assemble.  Perfect for my Quaranoffice.
576,It was a gift!,5.0 out of 5 stars,This was a gift. My granddaughter loved it.
577,Switch Lite Awesomeness,5.0 out of 5 stars,The switch lite is awesome if you don’t have the original one I like it so I highly recommend if you don’t want to pay 100 dollars more for the OG Switch
578,Brand new,5.0 out of 5 stars,"Exactly perfect, brand new"
579,My 11 yr old loves it.,5.0 out of 5 stars,Great game system!
580,Exactly what I expected,5.0 out of 5 stars,Just what my daughter asked for!
581,Nintendo,5.0 out of 5 stars,Excelente dispositivo de juego y fue un regalo de cumpleaños para mi nieta
582,Excellent,5.0 out of 5 stars,"My 5 year old loves this, only allowed one hour a day, but easy to download games, we play together, it is beautiful , fun, easy to play."
583,Super fragile exterior,3.0 out of 5 stars,ery cool device but be aware that the exterior is very fragile. (probably because it is so lightweight)My console was dropped less than a foot from the ground and it was damaged. Get a case and screen protector for sure!!!
584,Good quality,5.0 out of 5 stars,Step son loves it !
585,Fast delivery.,5.0 out of 5 stars,"Daughter loves it , color doesn't matter their just going to cover it in stickers anyways. Just get what's available."
586,A+,5.0 out of 5 stars,"I love this color, I’m glad I waited for this to come out although I really wanted to start playing ACNH already!"
587,Great gift,5.0 out of 5 stars,Great Christmas present for my daughter
588,Great,5.0 out of 5 stars,Perfect portable console
589,Great experience,5.0 out of 5 stars,Love this color. Fast shipping. Not damaged at all.
590,The color is beautiful.,5.0 out of 5 stars,Product was a gift.
591,Switch to the switch lite,5.0 out of 5 stars,Great for players on the go.
592,Buena compra,5.0 out of 5 stars,Tal y como se describe
593,Good video game,5.0 out of 5 stars,My daughter loves this
594,stopped working after 3 months,3.0 out of 5 stars,"Bought this is as a Christmas gift for our 7 year old.  Worked great for 3 months and then stopped charging.  Spoke with Nintendo support and was unable to get it to charge.  Waiting to see if and when the service centers open, for them to try and fix it.  Very frustrating!"
595,Who's mistake? The buyer or the seller??,2.0 out of 5 stars,"I Finally gave my grandson his Christmas gift today 1/29/21. He was excited, charged it immediately.  Then he asked,  ""who's green he has a Profile on here with a game downloaded.  What..!! I bought this new, so I'm a little upset it was sold to me clearly used but with new price.  This could clearly be a mistake on my part but I would think if the game system is new it wouldn't have a profile, nor game downloaded and was it cleaned before repackaging? I bought 2 total for each grandchild."
596,Yay,5.0 out of 5 stars,It was a Christmas gift
597,Yelllllllllllow :D,5.0 out of 5 stars,"Yellow was my second choice in color and was slightly less expensive than the turqouise, but I still like it.  :)"
598,5 stars,5.0 out of 5 stars,Bought for wife who is in love with it
599,Out of this world fantastic!,5.0 out of 5 stars,"LIKE SIZE, CONTROLLERS AND EVERYTHING ELSE ABOUT IT.  (This review was dictated by the 10 & 12 year old recipients.)"
600,Works great,5.0 out of 5 stars,My daughter plays for hours
601,Disappointed,2.0 out of 5 stars,"My son loves his switch lite! I purchased it, not even a month ago. It started over heating horrible. Couldn’t even touch it. That’s how hot it got. Now it no longer works at all. I have a very upset little boy. And for how much they cost. I’m so upset myself. What a waste of money!! Tried to find a email to email the seller and couldn’t find one! So I guess I’m just out over $200. This is so disappointing!!"
602,Great handheld device,5.0 out of 5 stars,So loved it for his birthday gift!
603,Good,5.0 out of 5 stars,Love it.
604,good,5.0 out of 5 stars,good
605,Perfect for all ages and gaming styles.,5.0 out of 5 stars,My teenage daughter loves this switch. Has a longer battery life and easier to travel with.
606,Fun game system,5.0 out of 5 stars,"Easy to set up. Fun game play. My grandsons mom play it more than he does, all the classic games ie. Yoshis island, Zelda etc."
607,I wish....,5.0 out of 5 stars,I wish there was a way to hook up to a TV when playing with others or a way to connect with a regular Nintendo switch
608,Love it,5.0 out of 5 stars,Love this thing. Play it all the time. Great feel. Great quality. Wish the battery life was a little better but it's not bad by any means.
609,Great buy,5.0 out of 5 stars,Love it
610,Awesome Sauce!,5.0 out of 5 stars,Thank you!
611,AMAZING,5.0 out of 5 stars,LOVE IT!!!
612,A better alternative,5.0 out of 5 stars,The graphics are better than the DS and 3DS. Very convenient to have on the go.
613,Value and fun,5.0 out of 5 stars,All the rage this year. I love my switch lite.
614,Perfect!,5.0 out of 5 stars,Bought the lite for a gift and they are loving it! The yellow is very cute and it's the perfect size to be portable and comfortable!
615,Nice,5.0 out of 5 stars,Love it
616,Perfecto,5.0 out of 5 stars,PerfectoPerfectoPerfectoPerfectoPerfectoPerfectoPerfectoPerfectoPerfectoPerfectoPerfecto
617,Perfect gift,5.0 out of 5 stars,This was a gift for my sister. She loves it. The color is very nice and vibrant
618,Excellent portable system,5.0 out of 5 stars,This makes an excellent upgrade from a 2ds durable and sturdy. The graphics are excellent though the screen is a little small for some games.
619,Good fun for kids,4.0 out of 5 stars,My boy loves it and keeps him busy while on drives. Bad part is the games are so expensive.
620,Great system!,5.0 out of 5 stars,I love having a cheaper option to play switch games.
621,Great product,5.0 out of 5 stars,"Great product, fast shipping."
622,Love!,5.0 out of 5 stars,Adorable color and works great!
623,Great carrying case!!!,5.0 out of 5 stars,Great product. Bought it for my daughter and she loves it!!!! It’s a hard case.
624,Great fit,5.0 out of 5 stars,My son loves it...
625,Bad charging cable,4.0 out of 5 stars,Nice kit but the charging cable broke on the usb C end after using it for a month
626,So Much Fun,5.0 out of 5 stars,My granddaughter loves playing the games and so does her dad.  Yes with the case on it's durable!  Have Fun Guys!!
627,My son loved it...,5.0 out of 5 stars,"My 10 yr old absolutely loved this, when I gave it to him for his Birthday."
628,Nice,5.0 out of 5 stars,"Finally, I too can be addicted to ACNH."
629,Great,5.0 out of 5 stars,"Amazing switch, works like new!"
630,Great portable for gaming,4.0 out of 5 stars,Love the switch . One drawback you can’t connect to tv but i knew this when buying the product.
631,:),5.0 out of 5 stars,I be stalking this product to get it at $199.99 lol my dreams have true
632,perfect,5.0 out of 5 stars,i got it for my gf and she loves it. she loves playing animal crossing on it
633,Great,5.0 out of 5 stars,Bought this as a Christmas present for my 8 year old. He absolutely loves it and never wants to put it down.
634,Cute,5.0 out of 5 stars,Cute
635,Love this,4.0 out of 5 stars,Is lite and it works as expected
636,received fast service.,5.0 out of 5 stars,"bought for my granddaughter,located it on amazon, made her Birthday complete."
637,perfect,5.0 out of 5 stars,exactly as described
638,Fun,5.0 out of 5 stars,Bought this for our 14 year old. She loves it!
639,So much fun!,5.0 out of 5 stars,Daughter loves it! Uses it all the time! Great quality you would expect from Nintendo! Highly recommend it to friends and family!
640,Perfect!,5.0 out of 5 stars,Kids love them!
641,Great buy,5.0 out of 5 stars,"Love the size, the price, mobility. If i were to make anything better it would be the battery life but this still gets 5 stars"
642,I loved it,5.0 out of 5 stars,Excellent product
643,A,5.0 out of 5 stars,I like it thank you for selling it to me
644,Great buy,5.0 out of 5 stars,Great! Works perfect
645,Amazing System,5.0 out of 5 stars,I love this game system. I knew exactly what I was getting because the description was perfectly matched. I wouldn't trade it for anything.
646,It was awesome,5.0 out of 5 stars,I liked
647,Excellent product,5.0 out of 5 stars,Amazing
648,My daughter loved it.,5.0 out of 5 stars,It was easy to move her save data from the shared switch to her own switch lite.
649,Excellent,5.0 out of 5 stars,Excellent
650,my child loves this system,5.0 out of 5 stars,works like a charm. my kid loves it!
651,Something for everyone!,5.0 out of 5 stars,What’s not to like? I bought these because my Grands would have fought over the regular switch. They were thrilled of course!
652,Worth it,5.0 out of 5 stars,Good quality
653,Yellow switch lite,5.0 out of 5 stars,Amazing I love it
654,Lite as advertised,5.0 out of 5 stars,Worked great so far.  Only draw back is that it can't dock but that's why it's the lite version.
655,Awesome product,5.0 out of 5 stars,Exactly as advertised. Fast shipping
656,Awesome!!,5.0 out of 5 stars,Bought so i could play the new animal crossing game! works perfectly :) super happy with the color!
657,Love it!,5.0 out of 5 stars,Super cute. Exactly as pictured.
658,Fast Delivery! Great condition!,5.0 out of 5 stars,The product was delivered faster than it said it would!!! Excellent condition! I play it all the time!
659,My grandson is very happy,5.0 out of 5 stars,Just what he wanted
660,we love it,5.0 out of 5 stars,thank you!! its for my sons 8th birthday trrw and hes gonna love it
661,Very happy,5.0 out of 5 stars,"Amazing product, fast protective delivery recommended to purchase this switch as well as buy from this distributor"
662,Great size and easy to use!,5.0 out of 5 stars,I really love playing with this!! It’s super lite and easy to hold. Also really simple to set up!
663,Not well made,3.0 out of 5 stars,Haven't had it for.  A YEAR AND ALREADY MALFUNCTIONING
664,Exactly what I wanted,4.0 out of 5 stars,Works great
665,Good product,4.0 out of 5 stars,Was a gift.
666,Great!,5.0 out of 5 stars,love it
667,Love it,5.0 out of 5 stars,I love it 🙂
668,Used game console,3.0 out of 5 stars,It looked brand new but come to find out 3 months later it had a micro sd card in it which you have to by separate so it shows that someone used it before I bought and it clearly stated it was new . A little disappointed I paid full price for a used item.
669,It's a Nintendo Switch,5.0 out of 5 stars,"Not much more to say.  It's a Switch, and it works as expected.  No issues, no drama, happy kids."
670,Selling renewed items without disclosing,2.0 out of 5 stars,"This was gift for our granddaughter.  She was super excited, but Very disappointed in the end.  The Game Center stopped working within a few months of purchase, when I called Nintendo for repair, they tell me the units 1 year has expired, I purchased Dec 2019.  Nintendo made it right, the 2-stars are for Amazon it appears you sold a renewed game without making that clear in the add.  I’ve got 3 kids, this isn’t my 1st rodeo!In the end everything is going to workout, but it shouldn’t be this difficult."
671,Good,5.0 out of 5 stars,👍🏾
672,Great entertainment.,5.0 out of 5 stars,I bought this for my teenage Daughter and she can't pit it down. She loves it.
673,really happy with this,5.0 out of 5 stars,It feels really good to enjoy games again
674,Perfect,5.0 out of 5 stars,Got it earlier than expected (: perfect condition and the person i got it for loves it.
675,Perfect!,5.0 out of 5 stars,My girlfriend loved it.
676,Delivered on time,5.0 out of 5 stars,I love it
677,👍🏽,5.0 out of 5 stars,I’m in love with the color and how weightless it is...thumbs up from me...
678,Makes no sense,3.0 out of 5 stars,The console runs fine but it can only be played while connected to the internet even if games are already downloaded. The point of this console is to play on the go.
679,Portable,5.0 out of 5 stars,Granddaughter loves it!!
680,Arrived in perfect condition and in a timely manner!,5.0 out of 5 stars,Really appreciated the obvious care that was taken with shipping this. Thankful to have this fun distraction available.
681,Nintendo Switch turquoise,5.0 out of 5 stars,"It’s got my grandson, but I had to try it out. Great value, just like you would buy in a department store. Great color!"
682,Great game,5.0 out of 5 stars,Great game. Works perfectly
683,Like a Nintendo DS but way better,5.0 out of 5 stars,Love this switch.
684,I would recommend,4.0 out of 5 stars,We bought this for our son and he loves it and it is a good quality system.
685,Excellent purchase,5.0 out of 5 stars,"After my sister got her Nintendo switch, I wanted to get my own. Than I found out about the lite and got that instead."
686,Obsessed!!!,5.0 out of 5 stars,Absolutely love my switch! I use it alllll the time!
687,my kid loves it,5.0 out of 5 stars,my kid loves it
688,Successful gift!,5.0 out of 5 stars,Sent this to my GF as a graduation gift and she loved it!
689,Love it,5.0 out of 5 stars,Love my lite play it more then the OG switch love he portable and slim build
690,Perfect,5.0 out of 5 stars,"My granddaughter loves this, I have the console at home but love the portability of this."
691,Son Loves It,5.0 out of 5 stars,Kiddo loves it
692,Works perfectly,5.0 out of 5 stars,Just received my switch today!! Everything looks great and works perfectly. Thank you!
693,Worth the money!,5.0 out of 5 stars,Great system! I bought 4 for our kids this Christmas and so far they all love them! Ages ranging from 9-15 years old!
694,Great Portable Console,5.0 out of 5 stars,I’m in love with my Nintendo Switch Lite. I love that I can take it everywhere. It’s a very nice console.
695,Game,5.0 out of 5 stars,Was a gift
696,Great,5.0 out of 5 stars,Great
697,Great gift for your Grand Children,5.0 out of 5 stars,My Granddaughter loves  this controller and found it very easy to use.
698,FUN FOR ALL,5.0 out of 5 stars,Good gift!
699,Love it,5.0 out of 5 stars,Love it colors nice works great
700,Works,5.0 out of 5 stars,She loves it.
701,Awesome,5.0 out of 5 stars,Got this for my friend in another state. He loves it and now our adult group of friends can play pokemom together.
702,Hermoso,5.0 out of 5 stars,Me encanto mucho estoy muy feliz gracias y el color es hermoso.
703,came 5 days early,5.0 out of 5 stars,"It's hard to find these during quarantine, but the price is resonable and arrived 5 days early"
704,reveiew,5.0 out of 5 stars,This product is a great product. It's awesome. Can use again and again. Really works well everytime.
705,Won’t charge,3.0 out of 5 stars,Bought it too soon for a Christmas gift and now can’t return. It does not charge at all not sure if it’s the unit or the charger but I do know I have a very unhappy child
706,Awesome product,5.0 out of 5 stars,Better than expected.
707,Happy.,5.0 out of 5 stars,Very good screen fast very good controls. I was surprised at how much power I’m a very light and small package.
708,Love It!,5.0 out of 5 stars,Love it! It looks great in the black grips silicon case i got for it!
709,Nintendo switch lite (pink),5.0 out of 5 stars,It's fun and great and my daughter loves it.
710,Love it,5.0 out of 5 stars,can't wait the play some games
711,Product came broken and previously used,1.0 out of 5 stars,Game card slot was broken off and there were visible scratches and some type of food stuck on it. Also smelled of cigarettes. Returning for another one hopefully this one will be okay.
712,I love it.,5.0 out of 5 stars,I love this system so far. So much better for me than the original switch.. lighter and smaller.
713,Awesome,5.0 out of 5 stars,Had a regular switch before this never hooked it up to a tv so this is perfect. I like my switch as a handheld
714,great,4.0 out of 5 stars,It was delivered properly
715,Great Console!,5.0 out of 5 stars,"I absolutely love it! It’s easy to handle and fits well in your hands, I highly recommend it."
716,"Great, portable and affordable",5.0 out of 5 stars,"Excellent gift for my son. Reliable and affordable, excellent battery life and let him play most of my games."
717,Arrived quick and in good condition,5.0 out of 5 stars,"Arrived on time, Switch is indeed in new condition and is working well."
718,It's to much fun,5.0 out of 5 stars,Amazing
719,Happy gamers,5.0 out of 5 stars,Love it. My son plays it constantly. Has a long battery life and lots of fun games.
720,Directional control is not working,3.0 out of 5 stars,10 weeks old and I can't use the directional control. So disappointing
721,Power adapter,4.0 out of 5 stars,Power adapter was foreign but it came with additional power converter.
722,Enjoyable,5.0 out of 5 stars,I like it and it is very fun.  Wish they had a bit more games to play though
723,Mr. Stone,4.0 out of 5 stars,What I like is that it’s fun to play.  What I dislike is you can’t hook it to your TV.
724,My grandsons love it!,5.0 out of 5 stars,"My grandsons love it! And, if they're happy, I'm happy! Thru also loved the color."
725,Lighter weight. Slightly smaller screen.,5.0 out of 5 stars,It's lighter and smaller than the original increasing it's mobility. It's great for kids and those who don't want strained wrists.
726,It's great,5.0 out of 5 stars,I like it very much. I love to play games such as Super Smash Bros Ultimate with my brother or friends in school.
727,Buen producto,5.0 out of 5 stars,Lo recomiendo
728,Good Purchase,5.0 out of 5 stars,"Arrived sooner than expected. Had no issues whatsoever, everything works perfectly!"
729,Great little package,5.0 out of 5 stars,It’s really convenient to be able to play blockbuster games anywhere you find yourself. I highly recommend this mobile gaming system
730,It’s a Christmas gift,3.0 out of 5 stars,It’s a Christmas gift
731,Nice product,5.0 out of 5 stars,Super cute
732,awesome,5.0 out of 5 stars,prime ships fast love it
733,It’s awesome,4.0 out of 5 stars,Just like a normal Nintendo switch put it just can’t connect to TVs and other devices
734,I love it,5.0 out of 5 stars,"Came on time, just what I ordered it also comes with the charger."
735,That color is fire!!!,5.0 out of 5 stars,"I got my Nintendo, I love the color!!! I brought this for myself.."
736,Would buy again!!!!,5.0 out of 5 stars,LOVE IT!!!!!!!!! So excited to have bought this! Just what i was looking for!
737,Great Graphics,5.0 out of 5 stars,Great for fornite 1 v 1 's . I can play with my son now instead of just watching .
738,Much faster than said.,5.0 out of 5 stars,Came much faster than said it would.love the coral switch.
739,🤙🏻,5.0 out of 5 stars,Excellent. Works just as expected and it plays SO good.
740,Good but,5.0 out of 5 stars,"Really like the Switch, except for the fact to screws up my Wifi"
741,👍,5.0 out of 5 stars,👍👍👍
742,Great entertainment for a 9 year old,5.0 out of 5 stars,9 year old loves it! He would play it all the time if we let him.
743,Gift,5.0 out of 5 stars,Gift
744,Amazing console,5.0 out of 5 stars,Worth every hard earned penny I saved and paid for it! Thank you
745,Daughter bought it,3.0 out of 5 stars,"To be honest I think this is overpriced for what it is, I could get my kid a decent laptop for this price. However she loves it and she spent her own money on it."
746,Awesome!,5.0 out of 5 stars,"This product is awesome! It's very durable. I got smash bros, and the quality looked amazing as well!"
747,Very satisfied,5.0 out of 5 stars,Arrived a day early. Packaging in great shape. Hasn't been put down much😁
748,Pretty good,5.0 out of 5 stars,Pretty good
749,GGOAT,5.0 out of 5 stars,"Grandson loves it. Sleeps with it. New title for me, ""Greatest Grandma Of All Time""!"
750,Best color!!,5.0 out of 5 stars,Great buy love it
751,Love it!!,5.0 out of 5 stars,Arrived New/perfect condition. Seller was great too. I love it and can’t stop playing!!
752,dies fast,5.0 out of 5 stars,shoop
753,Perfect,5.0 out of 5 stars,Exactly what we ordered. Even came with a USA outlet adapter. Impressed.
754,Entertaining,5.0 out of 5 stars,The kids love the size and the look. It keeps them entertaining for hours. It's also a great price.
755,Love it!,5.0 out of 5 stars,"Great buying experience, the delivery was faster than expected and everything came in perfect!"
756,Loved it,5.0 out of 5 stars,Bought this as a Christmas present and my bf loved it. I actually want one for myself now lol
757,It arrived on time and in one piece,5.0 out of 5 stars,"It arrived in great condition, don’t have anything bad to say about it at all. Thank you."
758,good,5.0 out of 5 stars,"Solo compre para jugar el nuevo pokemon sword and shield, esta muy bien aunque los juegos de la nintendo eshop estén bien caros..."
759,Nice quality,5.0 out of 5 stars,Very Good
760,Can tell the difference between the two in hand,5.0 out of 5 stars,Love the feel it lost in my handWork just like the dock switch great to game on the go
761,Speedy delivery,5.0 out of 5 stars,Product came on time. Everything looks good.
762,Love it!,5.0 out of 5 stars,Love it! Haven't put it down since I got it!!
763,Rapiddo,5.0 out of 5 stars,Bueno
764,Excellent,5.0 out of 5 stars,Product shipped fast and delivered fast with description 100% as described
765,It’s worth it!,5.0 out of 5 stars,I liked the color and I love how easy it was for my 8yr old to navigate through.
766,fun,5.0 out of 5 stars,Fun love it great  headheld I played
767,Great Buy,5.0 out of 5 stars,Great way to pass the time. Works well and is very light.
768,Great gift for boring times!,5.0 out of 5 stars,Bought as a gift. Nothing bad to say!
769,Great fun,5.0 out of 5 stars,We bought this for our daughter and she is loving it
770,Brand New with broken right speaker,3.0 out of 5 stars,"Same day I got it I opened the package and the speakers sounded kinda off to me. So I called Nintendo and they said that the speaker was definitely broken; which is kinda disappointing for a new switch lite. Anyways, I’m giving it three stars because I did get a replacement one from amazon that’s working fine."
771,Great product!,5.0 out of 5 stars,"My daughter loves this Switch so much! Everything works great, no problems at all."
772,the Nintendo switch light is perfect for on-the-go,5.0 out of 5 stars,I love the Nintendo switch light system I use it every single day it's very lightweight I would recommend it to everybody
773,Tiene un color espectacular,5.0 out of 5 stars,Fue un regalo para mi niña.  El color es bello.  Funciona todo muy bien.  Ella estaba feliz.
774,Great awesome fast shipping.,5.0 out of 5 stars,"Received this switch brand new, fast shipping. Awesome console for the little ones."
775,Works great,5.0 out of 5 stars,My grandson loves this. He has played on it since he got it for Christmas. It is perfect.
776,Good console,5.0 out of 5 stars,Love it. Super light and pretty color
777,Nintendo lite,5.0 out of 5 stars,My son love the game console with no complaint.
778,Love,5.0 out of 5 stars,Obsessed with it. Just wish the batter didn’t die so quickly!
779,Animal crossing is life,5.0 out of 5 stars,Best covid purchase ever. And animal crossing
780,Won't charge,1.0 out of 5 stars,"Garbage.  I received this on Monday and was able to play that day and Tuesday on a single charge.  When I went to plug it in on Wednesday, it didn't indicate that it was charging.  I thought it might be a glitch, so I left it charging overnight, just in case.  Well, Thursday morning comes and goes and still no charge.  I tried plugging directly into a wall and even at a completely different location.  I now have a very expensive paperweight because I refuse to purchase something else to fix an item that broke in 48 hours.  Awful.  Awful.  Awful.  Save yourself the aggravation and just go ahead and throw this crap over a very tall bridge."
781,"It’s fun, fun fun fun.",5.0 out of 5 stars,I purchased this as a gift for my grandson. He truly enjoys it.
782,Great console,5.0 out of 5 stars,"First time I own a switch, great console, amazon delivered it on time and in perfect conditions"
783,Goodbye life,5.0 out of 5 stars,I love hand helds. This is it. No creep. Battery life (longer) would be nice.
784,Perfect,5.0 out of 5 stars,I bought it as a gift for my nephew. He loves it very much
785,Very SATISFIED!,5.0 out of 5 stars,Love everything about this item..
786,Better travel size than the normal Nintendo Switch,5.0 out of 5 stars,Much easier to travel with and play as a handheld device compared to the original Switch.
787,Love it,5.0 out of 5 stars,"Love it, came in early and haven’t stopped playing it since"
788,"Fast shipping, just like shown",5.0 out of 5 stars,"It was shipped fast, and it's exactly what was shown"
789,Perfect,5.0 out of 5 stars,"Came perfect and looks exactly like pictures, can’t wait to use it!"
790,Awesome,5.0 out of 5 stars,Quick delivery. Loving it so far.
791,Quick delivery,5.0 out of 5 stars,Product arrived in excellent condition weeks before promised delivery.
792,Great,5.0 out of 5 stars,Came a day early. As described. I love the switch already.
793,excellent condition. great game,5.0 out of 5 stars,this is an excellent product. very portable and light. can be played anywhere anytime.
794,It's perfect!,5.0 out of 5 stars,I love it so much it helps me through the day.thank you Nintendo!
795,5 out of 5,5.0 out of 5 stars,Preorder the nintendo switch lite for our sons birthday. It is a great product. Easy setup. Quick charge. And fun to play on
796,Came early and in good condition!,5.0 out of 5 stars,Came early and in good condition! Can't wait to use it! :-)
797,👏🏻,5.0 out of 5 stars,Good Device in great conditions
